,Date,Open,High,Low,Close,Adj Close,Volume,Date_str,Daily_return,Cum_return
165,2019-10-25,26789.60938,27015.36914,26765.67969,26958.06055,26958.06055,274610000,10/25/2019,0.0056902905476296645,0.02624274764653166
166,2019-10-28,27040.33008,27167.88086,27028.710939999997,27090.7207,27090.7207,290770000,10/28/2019,0.004920982715130942,0.0311637303616626
167,2019-10-29,27061.070310000003,27165.93945,27039.75977,27071.460939999997,27071.460939999997,269610000,10/29/2019,-0.0007109356821210172,0.03045279467954158
168,2019-10-30,27110.710939999997,27204.35938,26999.64063,27186.68945,27186.68945,231750000,10/30/2019,0.004256457021488124,0.0347092517010297
169,2019-10-31,27188.36914,27188.36914,26918.289060000003,27046.23047,27046.23047,270910000,10/31/2019,-0.005166461339779016,0.02954279036125069
170,2019-11-01,27142.94922,27347.429689999997,27142.94922,27347.35938,27347.35938,270870000,11/01/2019,0.011133858758395883,0.04067664911964657
171,2019-11-04,27402.06055,27517.58008,27402.06055,27462.10938,27462.10938,273030000,11/04/2019,0.004196017553487096,0.044872666673133665
172,2019-11-05,27500.23047,27560.35938,27453.55078,27492.63086,27492.63086,286350000,11/05/2019,0.001111403336781824,0.04598407000991549
173,2019-11-06,27502.74023,27526.05078,27407.81055,27492.56055,27492.56055,237910000,11/06/2019,-2.557412579422806e-06,0.045981512597336065
174,2019-11-07,27590.160160000003,27774.66992,27590.160160000003,27674.80078,27674.80078,259020000,11/07/2019,0.006628710689517899,0.05261022328685396
175,2019-11-08,27686.19922,27694.94922,27578.9707,27681.24023,27681.24023,221440000,11/08/2019,0.000232682795124281,0.052842906081978246
176,2019-11-11,27580.660160000003,27714.39063,27517.66992,27691.49023,27691.49023,202350000,11/11/2019,0.00037028687713534575,0.053213192959113594
177,2019-11-12,27701.589839999997,27770.85938,27635.320310000003,27691.49023,27691.49023,213670000,11/12/2019,0.0,0.053213192959113594
178,2019-11-13,27622.039060000003,27806.40039,27587.19922,27783.589839999997,27783.589839999997,278390000,11/13/2019,0.0033259174293270776,0.05653911038844067
179,2019-11-14,27757.19922,27800.710939999997,27676.9707,27781.960939999997,27781.960939999997,303970000,11/14/2019,-5.862813298714114e-05,0.05648048225545353
180,2019-11-15,27843.539060000003,28004.89063,27843.539060000003,28004.89063,28004.89063,283720000,11/15/2019,0.008024260435807973,0.06450474269126151
181,2019-11-18,27993.2207,28040.9707,27969.24023,28036.2207,28036.2207,252320000,11/18/2019,0.0011187356670637344,0.06562347835832524
182,2019-11-19,28079.75977,28090.210939999997,27894.51953,27934.01953,27934.01953,245890000,11/19/2019,-0.0036453262047548467,0.061978152153570394
183,2019-11-20,27879.55078,27897.2793,27675.2793,27821.089839999997,27821.089839999997,258140000,11/20/2019,-0.00404272968588436,0.057935422467686036
184,2019-11-21,27820.2793,27828.33008,27708.339839999997,27766.289060000003,27766.289060000003,232020000,11/21/2019,-0.0019697567678029584,0.05596566569988308
185,2019-11-22,27831.23047,27898.460939999997,27773.98047,27875.61914,27875.61914,214780000,11/22/2019,0.003937511410464156,0.05990317711034723
186,2019-11-25,27917.76953,28068.68945,27917.76953,28066.4707,28066.4707,248420000,11/25/2019,0.00684654066485437,0.0667497177752016
187,2019-11-26,28080.75,28146.01953,28042.210939999997,28121.679689999997,28121.679689999997,324050000,11/26/2019,0.001967079886535058,0.06871679766173666
188,2019-11-27,28156.4707,28174.9707,28075.23047,28164.0,28164.0,198210000,11/27/2019,0.0015048997949810158,0.07022169745671768
189,2019-11-29,28103.160160000003,28119.50977,28042.5293,28051.410160000003,28051.410160000003,120630000,11/29/2019,-0.003997650901860422,0.06622404655485725
190,2019-12-02,28109.74023,28109.839839999997,27782.34961,27783.039060000003,27783.039060000003,236610000,12/02/2019,-0.009567116179516883,0.05665693037534037
191,2019-12-03,27501.98047,27524.74023,27325.13086,27502.81055,27502.81055,275350000,12/03/2019,-0.010086315949627594,0.04657061442571278
192,2019-12-04,27634.63086,27727.44922,27612.08008,27649.7793,27649.7793,218200000,12/04/2019,0.005343772038599888,0.05191438646431267
193,2019-12-05,27736.05078,27745.19922,27562.80078,27677.789060000003,27677.789060000003,208600000,12/05/2019,0.0010130192974091646,0.052927405761721835
194,2019-12-06,27839.679689999997,28035.84961,27839.679689999997,28015.06055,28015.06055,223310000,12/06/2019,0.012185636983823285,0.06511304274554512
195,2019-12-09,27987.05078,28010.41992,27906.14063,27909.59961,27909.59961,217000000,12/09/2019,-0.0037644373394009035,0.061348605406144216
196,2019-12-10,27900.65039,27949.01953,27804.0,27881.7207,27881.7207,213250000,12/10/2019,-0.000998900392322735,0.06034970501382148
197,2019-12-11,27867.31055,27925.5,27801.80078,27911.30078,27911.30078,213510000,12/11/2019,0.0010609130016857146,0.0614106180155072
198,2019-12-12,27898.339839999997,28224.94922,27859.86914,28132.05078,28132.05078,277740000,12/12/2019,0.007908982879012922,0.06931960089452012
